,0,1,2,3,4,5,6,7,8
PHI,CESAR HERNANDEZ,RHYS HOSKINS,ASDRUBAL CABRERA,CARLOS SANTANA,MAIKEL FRANCO,ODUBEL HERRERA,JORGE ALFARO,VINCENT VELASQUEZ,ROMAN QUINN
WAS,ADAM EATON,TREA TURNER,BRYCE HARPER,ANTHONY RENDON,JUAN SOTO,RYAN ZIMMERMAN,MATT WIETERS,TANNER ROARK,WILMER DIFO
ATL,RONALD ACUNA,ENDER INCIARTE,FREDDIE FREEMAN,NICK MARKAKIS,JOHAN CAMARGO,OZZIE ALBIES,KURT SUZUKI,DANSBY SWANSON,KEVIN GAUSMAN
PIT,COREY DICKERSON,ADAM FRAZIER,GREGORY POLANCO,JOSH BELL,FRANCISCO CERVELLI,COLIN MORAN,ADEINY HECHAVARRIA,KEVIN NEWMAN,IVAN NOVA
BAL,CEDRIC MULLINS,JONATHAN VILLAR,TREY MANCINI,ADAM JONES,CHRIS DAVIS,RENATO NUNEZ,TIM BECKHAM,JOHN ANDREOLI,CALEB JOSEPH
TOR,CURTIS GRANDERSON,DEVON TRAVIS,JUSTIN SMOAK,KENDRYS MORALES,KEVIN PILLAR,BILLY MCKINNEY,ALEDMYS DIAZ,RICHARD URENA,LUKE MAILE
KCR,WHIT MERRIFIELD,ALEX GORDON,SALVADOR PEREZ,HUNTER DOZIER,ROSELL HERRERA,LUCAS DUDA,ALCIDES ESCOBAR,RYAN O'HEARN,ADALBERTO MONDESI
TBR,MALLEX SMITH,TOMMY PHAM,JOEY WENDLE,C.J. CRON,JAKOB BAUERS,KEVIN KIERMAIER,WILLY ADAMES,BRANDON LOWE,MICHAEL PEREZ
NYY,BRETT GARDNER,GIANCARLO STANTON,AARON HICKS,MIGUEL ANDUJAR,GREGORY BIRD,GLEYBER TORRES,NEIL WALKER,AUSTIN ROMINE,MASAHIRO TANAKA
MIA,RAFAEL ORTEGA,J.T. REALMUTO,BRIAN ANDERSON,DEREK DIETRICH,STARLIN CASTRO,AUSTIN DEAN,J.T. RIDDLE,MAGNEURIS SIERRA,PABLO LOPEZ
CHC,ALBERT ALMORA,JASON HEYWARD,JAVIER BAEZ,ANTHONY RIZZO,BEN ZOBRIST,KYLE SCHWARBER,DAVID BOTE,WILLSON CONTRERAS,TOMMY LA STELLA
DET,JEIMER CANDELARIO,JOSE IGLESIAS,NICK CASTELLANOS,NIKO GOODRUM,VICTOR MARTINEZ,JIM ADDUCI,MIKIE MAHTOOK,JAMES MCCANN,VICTOR REYES
CLE,FRANCISCO LINDOR,MICHAEL BRANTLEY,JOSE RAMIREZ,YANDY DIAZ,YONDER ALONSO,MELKY CABRERA,JASON KIPNIS,YAN GOMES,GREG ALLEN
BOS,MOOKIE BETTS,ANDREW BENINTENDI,J.D. MARTINEZ,XANDER BOGAERTS,MITCH MORELAND,IAN KINSLER,EDUARDO NUNEZ,SANDY LEON,JACKIE BRADLEY
SFG,ANDREW MCCUTCHEN,CHASE D'ARNAUD,EVAN LONGORIA,NICK HUNDLEY,AUSTIN SLATER,HUNTER PENCE,GORKYS HERNANDEZ,ALEN HANSON,CHRIS STRATTON
NYM,AMED ROSARIO,JEFF MCNEIL,WILMER FLORES,MICHAEL CONFORTO,AUSTIN JACKSON,JOSE BAUTISTA,KEVIN PLAWECKI,JOSE REYES,STEVEN MATZ
MIN,JOE MAUER,EDDIE ROSARIO,JORGE POLANCO,MIGUEL SANO,MAX KEPLER,LOGAN FORSYTHE,JAKE CAVE,ROBBIE GROSSMAN,BOBBY WILSON
CHW,TIM ANDERSON,YOLMER SANCHEZ,MATT DAVIDSON,DANIEL PALKA,AVISAIL GARCIA,NICKY DELMONICO,YOAN MONCADA,OMAR NARVAEZ,ADAM ENGEL
CIN,BILLY HAMILTON,PHILLIP ERVIN,SCOOTER GENNETT,EUGENIO SUAREZ,MASON WILLIAMS,TUCKER BARNHART,DILSON HERRERA,BRANDON DIXON,SAL ROMANO
MIL,CHRISTIAN YELICH,LORENZO CAIN,MIKE MOUSTAKAS,JESUS AGUILAR,TRAVIS SHAW,ERIC THAMES,ERIK KRATZ,ORLANDO ARCIA,JUNIOR GUERRA
SDP,FREDDY GALVIS,WIL MYERS,ERIC HOSMER,HUNTER RENFROE,CHRISTIAN VILLANUEVA,AUSTIN HEDGES,FRANMIL REYES,MANUEL MARGOT,ROBBIE ERLIN
COL,CHARLIE BLACKMON,DJ LEMAHIEU,NOLAN ARENADO,TREVOR STORY,CARLOS GONZALEZ,IAN DESMOND,DAVID DAHL,CHRIS IANNETTA,TYLER ANDERSON
LAA,KOLE CALHOUN,DAVID FLETCHER,ALBERT PUJOLS,ANDRELTON SIMMONS,RENE RIVERA,TAYLOR WARD,KALEB COWART,ERIC YOUNG,FELIX PENA
ARI,A.J. POLLOCK,EDUARDO ESCOBAR,DAVID PERALTA,PAUL GOLDSCHMIDT,STEVEN SOUZA,KETEL MARTE,NICK AHMED,JEFF MATHIS,PATRICK CORBIN
TEX,SHIN-SOO CHOO,ROUGNED ODOR,ELVIS ANDRUS,NOMAR MAZARA,ADRIAN BELTRE,JURICKSON PROFAR,RONALD GUZMAN,ISIAH KINER-FALEFA,CARLOS TOCCI
OAK,NICK MARTINI,MATT CHAPMAN,JED LOWRIE,KHRIS DAVIS,MATT OLSON,STEPHEN PISCOTTY,MARCUS SEMIEN,RAMON LAUREANO,JOSH PHEGLEY
STL,JOSE MARTINEZ,YADIER MOLINA,TYLER O'NEILL,MARCELL OZUNA,PAUL DEJONG,JEDD GYORKO,HARRISON BADER,KOLTEN WONG,DANIEL PONCEDELEON
LAD,JOC PEDERSON,JUSTIN TURNER,MANNY MACHADO,CODY BELLINGER,MAX MUNCY,YASMANI GRANDAL,CHRIS TAYLOR,YASIEL PUIG,HYUN-JIN RYU
HOU,GEORGE SPRINGER,ALEX BREGMAN,JOSE ALTUVE,CARLOS CORREA,MARWIN GONZALEZ,YULIESKI GURRIEL,EVAN GATTIS,JOSH REDDICK,MAX STASSI
SEA,MITCH HANIGER,ROBINSON CANO,JEAN SEGURA,DENARD SPAN,KYLE SEAGER,RYON HEALY,BEN GAMEL,CHRIS HERRMANN,DEE GORDON
