Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR
Yankees,35,20,49,508,0,594.2,11.4,3.44,1.01,0.297,0.75,0.41,0.12,3.38,3.33,3.38,9.7
Padres,28,30,36,535,0,635,10.2,2.93,0.89,0.298,0.73,0.42,0.11,3.53,3.31,3.57,8.7
Astros,31,23,46,510,0,499.2,10.56,2.47,0.94,0.281,0.79,0.42,0.11,3.03,3.14,3.33,8.1
Brewers,42,21,49,559,0,614,10.38,3.56,0.98,0.297,0.77,0.47,0.14,3.47,3.57,3.47,7
Athletics,45,17,44,578,0,641.1,8.8,3.28,1.05,0.265,0.77,0.41,0.11,3.37,3.91,4.12,5.7
Rays,55,36,52,553,0,824.1,8.23,3.13,0.96,0.278,0.72,0.45,0.11,3.8,3.89,4.17,5.6
Mariners,35,24,60,537,0,557.1,8.98,2.81,1.1,0.295,0.76,0.41,0.11,3.76,3.91,4.1,5.1
Giants,31,30,36,549,0,570.2,8.91,3.39,0.85,0.298,0.72,0.46,0.10,3.79,3.63,3.93,5
Red Sox,40,16,46,535,0,587.1,9.62,3.75,0.98,0.295,0.77,0.43,0.11,3.72,3.85,4.05,4.9
White Sox,23,30,34,553,0,545.1,9.57,4.18,0.97,0.325,0.71,0.42,0.11,4.49,3.99,4.28,4.3
Phillies,26,26,44,596,0,569.1,9.18,3.48,1.06,0.305,0.72,0.46,0.12,4.19,3.95,4.03,4.1
Cubs,36,18,46,600,0,588.1,8.63,4.18,0.78,0.277,0.76,0.45,0.09,3.35,3.89,4.29,4
Rockies,32,29,51,518,0,520.1,9.1,3.75,1.06,0.304,0.67,0.46,0.13,4.62,4.05,4.04,3.9
Rangers,24,27,42,506,0,585,8.17,3.29,1.14,0.299,0.72,0.45,0.13,4.28,4.23,4.19,3.9
Pirates,24,23,40,480,0,546.2,9.61,3.89,0.94,0.308,0.73,0.43,0.11,4.03,3.86,4.05,3.5
Dodgers,35,33,48,593,0,581.1,9.68,3.08,1.16,0.286,0.75,0.43,0.14,3.72,3.88,3.77,3.1
Braves,30,26,40,553,0,557,8.98,4.41,0.84,0.298,0.72,0.43,0.11,4.15,3.98,4.21,3
Twins,35,30,37,566,0,610.1,9.1,3.27,1.31,0.311,0.73,0.42,0.15,4.45,4.28,4.04,3
Blue Jays,34,22,39,590,0,594.1,9.07,3.36,1.29,0.315,0.74,0.40,0.12,4.45,4.32,4.36,2.3
Angels,34,25,35,601,0,632,8.59,3.69,1.17,0.294,0.75,0.44,0.13,3.92,4.32,4.26,2.2
Tigers,28,31,37,542,0,579.2,7.92,3.43,1.12,0.3,0.71,0.41,0.11,4.52,4.29,4.5,2.1
Orioles,19,31,28,490,0,597.1,8.12,4.32,1.13,0.312,0.72,0.44,0.13,4.78,4.59,4.6,2.1
Diamondbacks,23,35,39,573,0,541.1,8.23,3.57,1,0.28,0.77,0.51,0.13,3.56,4.08,4.08,2
Reds,26,27,38,544,0,602.1,7.98,3.68,1.15,0.295,0.73,0.45,0.14,4.14,4.41,4.3,1.7
Cardinals,29,28,43,565,0,565.2,8.31,4.34,0.95,0.306,0.71,0.44,0.11,4.38,4.27,4.5,0.5
Nationals,27,27,40,562,0,528.2,8.49,3.23,1.38,0.277,0.77,0.41,0.14,4.05,4.51,4.38,0.4
Indians,15,29,41,508,0,463.2,9.28,3.16,1.51,0.3,0.75,0.44,0.17,4.6,4.53,3.98,0.4
Mets,27,36,41,501,0,546.1,8.47,3.67,1.35,0.303,0.70,0.37,0.12,4.96,4.61,4.68,-0.6
Marlins,27,33,30,546,0,606.1,7.97,4.14,1.13,0.31,0.66,0.43,0.12,5.34,4.56,4.68,-2.1
Royals,20,36,33,483,0,542.2,7.31,4.15,1.28,0.314,0.71,0.48,0.14,5.04,4.85,4.63,-2.2
