TEAM_INI,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR
NYA,11.4,3.44,1.01,0.297,0.75,0.41,0.12,3.38,3.33,3.38,9.7
SDN,10.2,2.93,0.89,0.298,0.73,0.42,0.11,3.53,3.31,3.57,8.7
HOU,10.56,2.47,0.94,0.281,0.79,0.42,0.11,3.03,3.14,3.33,8.1
MIL,10.38,3.56,0.98,0.297,0.77,0.47,0.14,3.47,3.57,3.47,7.0
OAK,8.8,3.28,1.05,0.265,0.77,0.41,0.11,3.37,3.91,4.12,5.7
TBA,8.23,3.13,0.96,0.278,0.72,0.45,0.11,3.8,3.89,4.17,5.6
SEA,8.98,2.81,1.1,0.295,0.76,0.41,0.11,3.76,3.91,4.1,5.1
SFN,8.91,3.39,0.85,0.298,0.72,0.46,0.1,3.79,3.63,3.93,5.0
BOS,9.62,3.75,0.98,0.295,0.77,0.43,0.11,3.72,3.85,4.05,4.9
CHA,9.57,4.18,0.97,0.325,0.71,0.42,0.11,4.49,3.99,4.28,4.3
PHI,9.18,3.48,1.06,0.305,0.72,0.46,0.12,4.19,3.95,4.03,4.1
CHN,8.63,4.18,0.78,0.27699999999999997,0.76,0.45,0.09,3.35,3.89,4.29,4.0
COL,9.1,3.75,1.06,0.304,0.67,0.46,0.13,4.62,4.05,4.04,3.9
TEX,8.17,3.29,1.14,0.299,0.72,0.45,0.13,4.28,4.23,4.19,3.9
PIT,9.61,3.89,0.94,0.308,0.73,0.43,0.11,4.03,3.86,4.05,3.5
LAN,9.68,3.08,1.16,0.28600000000000003,0.75,0.43,0.14,3.72,3.88,3.77,3.1
ATL,8.98,4.41,0.84,0.298,0.72,0.43,0.11,4.15,3.98,4.21,3.0
MIN,9.1,3.27,1.31,0.311,0.73,0.42,0.15,4.45,4.28,4.04,3.0
TOR,9.07,3.36,1.29,0.315,0.74,0.4,0.12,4.45,4.32,4.36,2.3
ANA,8.59,3.69,1.17,0.294,0.75,0.44,0.13,3.92,4.32,4.26,2.2
DET,7.92,3.43,1.12,0.3,0.71,0.41,0.11,4.52,4.29,4.5,2.1
BAL,8.12,4.32,1.13,0.312,0.72,0.44,0.13,4.78,4.59,4.6,2.1
ARI,8.23,3.57,1.0,0.28,0.77,0.51,0.13,3.56,4.08,4.08,2.0
CIN,7.98,3.68,1.15,0.295,0.73,0.45,0.14,4.14,4.41,4.3,1.7
SLN,8.31,4.34,0.95,0.306,0.71,0.44,0.11,4.38,4.27,4.5,0.5
WAS,8.49,3.23,1.38,0.27699999999999997,0.77,0.41,0.14,4.05,4.51,4.38,0.4
CLE,9.28,3.16,1.51,0.3,0.75,0.44,0.17,4.6,4.53,3.98,0.4
NYN,8.47,3.67,1.35,0.303,0.7,0.37,0.12,4.96,4.61,4.68,-0.6
MIA,7.97,4.14,1.13,0.31,0.66,0.43,0.12,5.34,4.56,4.68,-2.1
KCA,7.31,4.15,1.28,0.314,0.71,0.48,0.14,5.04,4.85,4.63,-2.2
