Team,TEAM
Tampa Bay Rays,TBA
Miami Marlins,MIA
New York Yankees,NYA
Baltimore Orioles,BAL
Los Angeles Angels,ANA
Oakland Athletics,OAK
Toronto Blue Jays,TOR
Kansas City Royals,KCA
Texas Rangers,TEX
Boston Red Sox,BOS
Chicago White Sox,CHA
Philadelphia Phillies,PHI
Minnesota Twins,MIN
Detroit Tigers,DET
Chicago Cubs,CHN
New York Mets,NYN
Pittsburgh Pirates,PIT
Milwaukee Brewers,MIL
Los Angeles Dodgers,LAN
Colorado Rockies,COL
Cincinnati Reds,CIN
Atlanta Braves,ATL
St. Louis Cardinals,SLN
Cleveland Indians,CLE
Seattle Mariners,SEA
Houston Astros,HOU
San Francisco Giants,SFN
Arizona Diamondbacks,ARI
San Diego Padres,SDN
Washington Nationals,WAS
